TCODE,TCODE_DESC,TCODE_URL,ABAP_PROGRAM,PACKAGE,PACKAGE_DESC,MODULE,MODULE_DESC,MODULE_URL,MODULE_TOP,MODULE_TOP_DESC,MODULE_TOP_URL,COMPONENT,COMPONENT_DESC,COMPONENT_URL
MM90,"Analyze ALE Appl. Log for MatMaster",https://www.sap-tcodes.org/tcode/mm90.html,RMVAPLSH,MGA,"Application development R/3 material master from 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MM91,"Delete ALE Appl. Log for Matl Master",https://www.sap-tcodes.org/tcode/mm91.html,RMVAPLDE,MGV,"Application Development R/3 Material Master Distribution",LO-MD-MM,"Material Master",https://www.sap-tcodes.org/analytics/module/lo-md-mm.html,LO,"Logistics - General",https://www.sap-tcodes.org/analytics/module/lo.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMAM,"Change Material Type",https://www.sap-tcodes.org/tcode/mmam.html,SAPMM03Z,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMB1,"Create Semifinished Product &",https://www.sap-tcodes.org/tcode/mmb1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMBE,"Stock Overview",https://www.sap-tcodes.org/tcode/mmbe.html,RMMMBESTN,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMBE_OLD,"Stock Overview",https://www.sap-tcodes.org/tcode/mmbe_old.html,RMMMBEST,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMCC,"Copy Material",https://www.sap-tcodes.org/tcode/mmcc.html,RBDMATCC,MGV,"Application Development R/3 Material Master Distribution",LO-MD-MM,"Material Master",https://www.sap-tcodes.org/analytics/module/lo-md-mm.html,LO,"Logistics - General",https://www.sap-tcodes.org/analytics/module/lo.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMCL,"Stock Overview by Characteristic",https://www.sap-tcodes.org/tcode/mmcl.html,MILL_CLMMBE,MILL_BAS,"IS: Mill Products - Basic Objects",IS-MP-CA,"Cross-Application Component (CA) Enhancements",https://www.sap-tcodes.org/analytics/module/is-mp-ca.html,IS-MP,"Mill Products Industry Solution",https://www.sap-tcodes.org/analytics/module/is-mp.html,ECC-DIMP,DIMP,https://www.sap-tcodes.org/analytics/component/ecc-dimp.html
MMCU,"Customizing Material Master Copier",https://www.sap-tcodes.org/tcode/mmcu.html," ",MGV,"Application Development R/3 Material Master Distribution",LO-MD-MM,"Material Master",https://www.sap-tcodes.org/analytics/module/lo-md-mm.html,LO,"Logistics - General",https://www.sap-tcodes.org/analytics/module/lo.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMD1,"Create MRP Profile",https://www.sap-tcodes.org/tcode/mmd1.html,SAPMM03D,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMD2,"Change MRP Profile",https://www.sap-tcodes.org/tcode/mmd2.html,SAPMM03D,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMD3,"Display MRP Profile",https://www.sap-tcodes.org/tcode/mmd3.html,SAPMM03D,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMD6,"Delete MRP Profile",https://www.sap-tcodes.org/tcode/mmd6.html,SAPMM03D,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMD7,"Display MRP Profile Usage",https://www.sap-tcodes.org/tcode/mmd7.html,RMMMDP01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMDE,"Delete All Materials",https://www.sap-tcodes.org/tcode/mmde.html,RMMMDE00,MGA,"Application development R/3 material master from 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMF1,"Create Finished Product &",https://www.sap-tcodes.org/tcode/mmf1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMG1,"Create Returnable Packaging &",https://www.sap-tcodes.org/tcode/mmg1.html,SAPMMG01,MGA,"Application development R/3 material master from 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMH1,"Create Trading Goods &",https://www.sap-tcodes.org/tcode/mmh1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMI1,"Create Operating Supplies &",https://www.sap-tcodes.org/tcode/mmi1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMK1,"Create Configurable Material &",https://www.sap-tcodes.org/tcode/mmk1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MML1,"Create Empties &",https://www.sap-tcodes.org/tcode/mml1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMLS,"Logistic Switch (Not Released)",https://www.sap-tcodes.org/tcode/mmls.html,SAPLMMLS,MGV_MATNR_LAMA,"LAMA: Material number conversion (long mat. no.)",LO-MD-MM,"Material Master",https://www.sap-tcodes.org/analytics/module/lo-md-mm.html,LO,"Logistics - General",https://www.sap-tcodes.org/analytics/module/lo.html,ECC-DIMP,DIMP,https://www.sap-tcodes.org/analytics/component/ecc-dimp.html
MMN1,"Create Non-Stock Material &",https://www.sap-tcodes.org/tcode/mmn1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMNR,"Define Material Master Number Ranges",https://www.sap-tcodes.org/tcode/mmnr.html,SAPMSNUM,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMP1,"Create Maintenance Assembly &",https://www.sap-tcodes.org/tcode/mmp1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMPI,"Initialize Period",https://www.sap-tcodes.org/tcode/mmpi.html,RMMMINIT,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMPURPAME21N,"Create Purchase Order from Portal",https://www.sap-tcodes.org/tcode/mmpurpame21n.html,MMPURPA_CALL_ME21N,MMPUR_PORTAL,"Linkage of Portal to Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURPAMEPO,"Call MEPO from Portal",https://www.sap-tcodes.org/tcode/mmpurpamepo.html,MMPURPA_CALL_MEPO,MMPUR_PORTAL,"Linkage of Portal to Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURPAMEREQ,"Call MEREQ from Portal",https://www.sap-tcodes.org/tcode/mmpurpamereq.html,MMPURPA_CALL_MEREQ,MMPUR_PORTAL,"Linkage of Portal to Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURPAMIGO,"Call MIGO from Portal",https://www.sap-tcodes.org/tcode/mmpurpamigo.html,MMPURPA_CALL_MIGO,MMPUR_PORTAL,"Linkage of Portal to Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURPAMIRO,"Call MIRO from Portal",https://www.sap-tcodes.org/tcode/mmpurpamiro.html,MMPURPA_CALL_MIRO,MMPUR_PORTAL,"Linkage of Portal to Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURUICALLMD03,"Wrapper for transaction MD03",https://www.sap-tcodes.org/tcode/mmpuruicallmd03.html,MMPURUI_CALL_MD03,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURUICALLME28,"Wrapper for transaction ME28",https://www.sap-tcodes.org/tcode/mmpuruicallme28.html,MMPURUI_CALL_ME28,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURUICALLME29N,"Wrapper for transaction ME29N",https://www.sap-tcodes.org/tcode/mmpuruicallme29n.html,MMPURUI_CALL_ME29N,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURUICALLME49,"Wrapper for transaction ME49",https://www.sap-tcodes.org/tcode/mmpuruicallme49.html,MMPURUI_CALL_ME49,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURUICALLME54N,"Wrapper for transaction ME54N",https://www.sap-tcodes.org/tcode/mmpuruicallme54n.html,MMPURUI_CALL_ME54N,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURUICALLME55,"Wrapper for transaction ME55",https://www.sap-tcodes.org/tcode/mmpuruicallme55.html,MMPURUI_CALL_ME55,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURUIME21N,"Wrapper transaction for ME21N",https://www.sap-tcodes.org/tcode/mmpuruime21n.html,MMPURUI_CALL_ME21N,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURUIML81N,"Call ML81N",https://www.sap-tcodes.org/tcode/mmpuruiml81n.html,MMPURUI_CALL_ML81N,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPURUIPRCREQ,"Create PO from Requisition",https://www.sap-tcodes.org/tcode/mmpuruiprcreq.html,MMPURUI_PRC_REQ,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPUR_ME41,"RFQ Transaction",https://www.sap-tcodes.org/tcode/mmpur_me41.html,MMPUR_CALL_ME41,MMPUR_UI_MODEL,"Model Components for Web Dynpro Applications, Purchasing",MM-PUR,Purchasing,https://www.sap-tcodes.org/analytics/module/mm-pur.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMPV,"Close Periods",https://www.sap-tcodes.org/tcode/mmpv.html,RMMMPERI,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMR1,"Create Raw Material &",https://www.sap-tcodes.org/tcode/mmr1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMRV,"Allow Posting to Previous Period",https://www.sap-tcodes.org/tcode/mmrv.html,SAPMM03Y,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMS1,"Create Service &",https://www.sap-tcodes.org/tcode/mms1.html,SAPMMG01,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMSC,"Enter Storage Locations Collectively",https://www.sap-tcodes.org/tcode/mmsc.html,SAPMM03M,MG,"Application development R/3 material master prior to 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMSC_MASS,"Maintain Storage Locations Coll.",https://www.sap-tcodes.org/tcode/mmsc_mass.html," ",MGA,"Application development R/3 material master from 3.0",CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,CRM,"Customer Relationship Management",https://www.sap-tcodes.org/analytics/module/crm.html,BBPCRM,BBPCRM,https://www.sap-tcodes.org/analytics/component/bbpcrm.html
MMSRVAC03,"Display Service Master from Portal",https://www.sap-tcodes.org/tcode/mmsrvac03.html,MMSRV_CALL_AC03,MMSRV_UI_MODEL,"Model Components for Web Dynpro External Service",MM-SRV,"External Services",https://www.sap-tcodes.org/analytics/module/mm-srv.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
MMSRVCRTSES,"Create SES from Portal",https://www.sap-tcodes.org/tcode/mmsrvcrtses.html,MMSRVPA_CALL_CREATE_SES,MMSRV_UI_MODEL,"Model Components for Web Dynpro External Service",MM-SRV,"External Services",https://www.sap-tcodes.org/analytics/module/mm-srv.html,MM,"Materials Management",https://www.sap-tcodes.org/analytics/module/mm.html,SAP_APPL,"Logistics and Accounting",https://www.sap-tcodes.org/analytics/component/sap_appl.html
