TCODE,TCODE_DESC,TCODE_URL,ABAP_PROGRAM,PACKAGE,PACKAGE_DESC,MODULE,MODULE_DESC,MODULE_URL,MODULE_TOP,MODULE_TOP_DESC,MODULE_TOP_URL,COMPONENT,COMPONENT_DESC,COMPONENT_URL
OOPR,"Authorization Profile Maintenance",https://www.sap-tcodes.org/tcode/oopr.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOPV,"Plan Versions",https://www.sap-tcodes.org/tcode/oopv.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOSB,"User (Structural Authorization)",https://www.sap-tcodes.org/tcode/oosb.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOSP,"Authorization Profiles",https://www.sap-tcodes.org/tcode/oosp.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOST,"Standard Assignment",https://www.sap-tcodes.org/tcode/oost.html," ",SP06,"PD OM Graphics",BC-BMT-OM-GRF,"Structural Graphics",https://www.sap-tcodes.org/analytics/module/bc-bmt-om-grf.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOSU,Subtypes,https://www.sap-tcodes.org/tcode/oosu.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOTR,"Display Import Lock Table",https://www.sap-tcodes.org/tcode/ootr.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOTS,Breakpoints,https://www.sap-tcodes.org/tcode/oots.html,RHCUST01,SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOUA,"Batch Input User Level",https://www.sap-tcodes.org/tcode/ooua.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOUS,"Maintain User",https://www.sap-tcodes.org/tcode/oous.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOV1,"Display Table T77S0",https://www.sap-tcodes.org/tcode/oov1.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOV2,"Maintain Table T77S0",https://www.sap-tcodes.org/tcode/oov2.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOVK,Relationships,https://www.sap-tcodes.org/tcode/oovk.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOW1,"Classification of Task Complexes",https://www.sap-tcodes.org/tcode/oow1.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOW2,"Substitute Profile",https://www.sap-tcodes.org/tcode/oow2.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOW3,"Substitute Profile: Class. Assignmnt",https://www.sap-tcodes.org/tcode/oow3.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOW4,"Workflow/Org.Mgmt Prefix Numbers",https://www.sap-tcodes.org/tcode/oow4.html,SAPLRHWW,SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOWFAC,"Activate Workflow Event Linkage",https://www.sap-tcodes.org/tcode/oowfac.html,RHCUST01,SP0W,"HR-CA: Workflow Enabling",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OOZR,"Target OT-Dependent Time Constraint",https://www.sap-tcodes.org/tcode/oozr.html," ",SP00,"Organization and Planning",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OO_CENTRAL_PERSON,"HR: Set Up Central Person",https://www.sap-tcodes.org/tcode/oo_central_person.html,RHCUST01,SP0C,"HR: Central Person",BC-BMT-OM,"Organizational Management",https://www.sap-tcodes.org/analytics/module/bc-bmt-om.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OPRF,"Maintain Quotation Prefixes",https://www.sap-tcodes.org/tcode/oprf.html," ",SFIB,"Financials: Components in Basis",BC-SRV-BSF-CUR,"Currency Conversion/Expiring Currency",https://www.sap-tcodes.org/analytics/module/bc-srv-bsf-cur.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
ORA_LOCK,"Oracle: Lock-Monitor",https://www.sap-tcodes.org/tcode/ora_lock.html,SAPLS_ORA_COCKPIT_1,S_DBMON_ORA_COCKPIT,"Database Monitor for Oracle in Cockpit Framework",BC-CCM-MON-ORA,"Oracle Database Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-ora.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
ORA_PERF,"DBACockpit: Oracle - Performance",https://www.sap-tcodes.org/tcode/ora_perf.html,SAPLS_ORA_COCKPIT_2,S_DBMON_ORA_COCKPIT,"Database Monitor for Oracle in Cockpit Framework",BC-CCM-MON-ORA,"Oracle Database Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-ora.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
ORA_SPACE,"DBACockpit: Oracle - Space Statistic",https://www.sap-tcodes.org/tcode/ora_space.html,SAPLS_ORA_COCKPIT_5,S_DBMON_ORA_COCKPIT,"Database Monitor for Oracle in Cockpit Framework",BC-CCM-MON-ORA,"Oracle Database Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-ora.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
ORGANIZER,"Records Management",https://www.sap-tcodes.org/tcode/organizer.html,SAPRMSSTART,SRM_GENERAL,"General Records Management Package",BC-SRV-RM,"SAP Records Management",https://www.sap-tcodes.org/analytics/module/bc-srv-rm.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OS01,"LAN check with ping",https://www.sap-tcodes.org/tcode/os01.html,RSHOST14,STUN,"DBA: All the rest in English",BC-CCM-MON-TUN,"Performance Monitors (TCC)",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-tun.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OS02,"Operating system configuration",https://www.sap-tcodes.org/tcode/os02.html,RSHOST01,SMOS,"Monitoring Operating System",BC-CCM-MON-OS,"Operating System Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-os.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OS03,"O/S Parameter changes",https://www.sap-tcodes.org/tcode/os03.html,RSHOST02,SMOS,"Monitoring Operating System",BC-CCM-MON-OS,"Operating System Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-os.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OS04,"Local System Configuration",https://www.sap-tcodes.org/tcode/os04.html,RSHOST03,SMOS,"Monitoring Operating System",BC-CCM-MON-OS,"Operating System Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-os.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OS05,"Remote System Cconfiguration",https://www.sap-tcodes.org/tcode/os05.html,RSHOST04,SMOS,"Monitoring Operating System",BC-CCM-MON-OS,"Operating System Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-os.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OS07,"Remote Operating System Activity",https://www.sap-tcodes.org/tcode/os07.html,RSHOST06,SMOS,"Monitoring Operating System",BC-CCM-MON-OS,"Operating System Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-os.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OS07N,"Remote Operating System Activity",https://www.sap-tcodes.org/tcode/os07n.html,RSHOST1N,SMOS,"Monitoring Operating System",BC-CCM-MON-OS,"Operating System Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-os.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
OS07_HOST,"call OS07 with hostname",https://www.sap-tcodes.org/tcode/os07_host.html,RSHOST15,SMOS,"Monitoring Operating System",BC-CCM-MON-OS,"Operating System Monitors",https://www.sap-tcodes.org/analytics/module/bc-ccm-mon-os.html,BC,"Basis Components",https://www.sap-tcodes.org/analytics/module/bc.html,SAP_BASIS,"SAP Basis Component",https://www.sap-tcodes.org/analytics/component/sap_basis.html
